major,name,title,type,number,credit,days,startTime,endTime,room,instructor,hasLab,link
ETC,SUS206,Economics and Sustainability,LEC,,3,TUTH,12:30 PM,1:25 PM,online,Young June Kwon,TRUE,https://www.stonybrook.edu/sb/bulletin/current/courses/sus/
ETC,SUS206,Economics and Sustainability,REC,,3,RETH,2:00 PM,2:55 PM,online,Young June Kwon,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/sus/
ETC,WAE192,High Intermediate Writing,LEC,,3,MW,10:30 AM,11:50 AM,online,Hyun-ju Kim,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/wae/
ETC,WAE192,High Intermediate Writing,LEC,,3,MW,2:00 PM,3:20 PM,online,Hyun-ju Kim,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/wae/
ETC,WAE192,High Intermediate Writing,LEC,,3,MW,3:30 PM,4:50 PM,online,Hyun-ju Kim,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/wae/
ETC,WAE194,Advanced Writing Academic Eng,LEC,,3,MW,9:00 AM,10:20 AM,online,Christopher Houghton,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/wae/
ETC,WAE194,Advanced Writing Academic Eng,LEC,,3,MW,10:30 AM,11:50 AM,online,Andrew Lasher,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/wae/
ETC,WAE194,Advanced Writing Academic Eng,LEC,,3,MW,2:00 PM,3:20 PM,online,Lindsay Dennison,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/wae/
ETC,WAE194,Advanced Writing Academic Eng,LEC,,3,MW,3:30 PM,4:50 PM,online,Christopher Houghton,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/wae/
ETC,WAE194,Advanced Writing Academic Eng,LEC,,3,MW,10:30 AM,11:50 AM,online,Lindsay Dennison,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/wae/
ETC,WAE194,Advanced Writing Academic Eng,LEC,,3,MW,9:00 AM,10:20 AM,online,Lindsay Dennison,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/wae/
ETC,WRT101,Introductory Writing Workshop,LEC,,3,MW,10:30 AM,11:50 AM,online,Jessamine Price,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/
ETC,WRT101,Introductory Writing Workshop,LEC,,3,TUTH,9:00 AM,10:20 AM,online,Andrew Lasher,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/
ETC,WRT101,Introductory Writing Workshop,LEC,,3,TUTH,10:30 AM,11:50 AM,online,Andrew Lasher,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/
ETC,WRT101,Introductory Writing Workshop,LEC,,3,TUTH,2:00 PM,3:20 PM,online,Andrew Lasher,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/
ETC,WRT101,Introductory Writing Workshop,LEC,,3,TUTH,2:00 PM,3:20 PM,online,Jessamine Price,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/
ETC,WRT101,Introductory Writing Workshop,LEC,,3,TUTH,3:30 PM,4:50 PM,online,Jessamine Price,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/
ETC,WRT102,Intermediate Writing Workshop,LEC,,3,TUTH,9:00 AM,10:20 AM,online,Timothy Fletcher,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/
ETC,WRT102,Intermediate Writing Workshop,LEC,,3,TUTH,10:30 AM,11:50 AM,online,Andrew Schenck,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/
ETC,WRT102,Intermediate Writing Workshop,LEC,,3,TUTH,10:30 AM,11:50 AM,online,Timothy Fletcher,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/
ETC,WRT102,Intermediate Writing Workshop,LEC,,3,TUTH,2:00 PM,3:20 PM,online,Andrew Schenck,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/
ETC,WRT102,Intermediate Writing Workshop,LEC,,3,TUTH,2:00 PM,3:20 PM,online,Timothy Fletcher,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/
ETC,WST247,Sociology of Gender,LEC,,3,F,3:00 PM,5:50 PM,online,Juhyun Woo,FALSE,https://www.stonybrook.edu/sb/bulletin/current/courses/wst/
