name,title,type,number,credit,days,startTime,endTime,instructor,hasLab,room,link,major
SOC247,Sociology of Gender,LEC,,3,F,15:00,17:50,Juhyun Woo,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/soc/,ETC
SUS206,Economics and Sustainability,LEC,90,3,TUTH,12:30,13:25,Young June Kwon,TRUE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/sus/,ETC
SUS206,Economics and Sustainability,REC,90,3,RETH,14:00,14:55,Young June Kwon,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/sus/,ETC
WAE192,High Intermediate Writing,LEC,,3,MW,10:30,11:50,Hyun-ju Kim,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/wae/,ETC
WAE192,High Intermediate Writing,LEC,,3,MW,14:00,15:20,Hyun-ju Kim,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/wae/,ETC
WAE192,High Intermediate Writing,LEC,,3,MW,15:30,16:50,Hyun-ju Kim,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/wae/,ETC
WAE194,Advanced Writing Academic Eng,LEC,,3,MW,9:00,10:20,Lindsay Dennison,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/wae/,ETC
WAE194,Advanced Writing Academic Eng,LEC,,3,MW,10:30,11:50,Rachel Ewing,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/wae/,ETC
WAE194,Advanced Writing Academic Eng,LEC,,3,MW,14:00,15:20,Lindsay Dennison,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/wae/,ETC
WAE194,Advanced Writing Academic Eng,LEC,,3,MW,15:30,16:50,Lindsay Dennison,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/wae/,ETC
WAE194,Advanced Writing Academic Eng,LEC,,3,MW,10:30,11:50,Lindsay Dennison,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/wae/,ETC
WAE194,Advanced Writing Academic Eng,LEC,,3,MW,9:00,10:20,TBA,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/wae/,ETC
WRT101,Introductory Writing Workshop,LEC,,3,MW,10:30,11:50,Timothy Fletcher,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/,ETC
WRT101,Introductory Writing Workshop,LEC,,3,TUTH,9:00,10:20,Andrew Lasher,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/,ETC
WRT101,Introductory Writing Workshop,LEC,,3,TUTH,10:30,11:50,Andrew Lasher,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/,ETC
WRT101,Introductory Writing Workshop,LEC,,3,TUTH,14:00,15:20,Andrew Lasher,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/,ETC
WRT101,Introductory Writing Workshop,LEC,,3,TUTH,14:00,15:20,TBA,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/,ETC
WRT101,Introductory Writing Workshop,LEC,,3,TUTH,15:30,16:50,TBA,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/,ETC
WRT102,Intermediate Writing Workshop,LEC,,3,TUTH,9:00,10:20,Timothy Fletcher,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/,ETC
WRT102,Intermediate Writing Workshop,LEC,,3,TUTH,10:30,11:50,Andrew Schenck,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/,ETC
WRT102,Intermediate Writing Workshop,LEC,,3,TUTH,10:30,11:50,Timothy Fletcher,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/,ETC
WRT102,Intermediate Writing Workshop,LEC,,3,TUTH,14:00,15:20,Andrew Schenck,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/,ETC
WRT102,Intermediate Writing Workshop,LEC,,3,TUTH,14:00,15:20,Timothy Fletcher,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/wrt/,ETC
WST247,Sociology of Gender,LEC,,3,F,15:00,17:50,Juhyun Woo,FALSE,TBA,https://www.stonybrook.edu/sb/bulletin/current/courses/wst/,ETC
